country,year_month,True Values,Ensemble Prediction,XGBoost Lower CI,XGBoost Upper CI,LSTM Lower CI,LSTM Upper CI,NN Lower CI,NN Upper CI,Ensemble Lower CI,Ensemble Upper CI,Residuals,XGBoost Prediction,LSTM Prediction,NN Prediction
Afghanistan,2024-03-01,1925.0,2141.0,1267.0,3017.0,2483.0,3620.0,2146.0,2999.0,1267.0,3017.0,-216.0,2141.0,3050.0,2573.0
Albania,2024-03-01,50.0,36.0,52.0,63.0,21.0,34.0,2.0,69.0,2.0,69.0,14.0,56.0,28.0,36.0
Bangladesh,2024-03-01,65.0,58.0,41.0,79.0,37.0,74.0,11.0,72.0,24.0,90.0,7.0,59.0,55.0,42.0
Cameroon,2024-03-01,20.0,21.0,20.0,30.0,17.0,31.0,-5.0,48.0,-5.0,48.0,-1.0,24.0,24.0,21.0
Democratic Republic of the Congo,2024-03-01,30.0,27.0,21.0,33.0,16.0,36.0,-24.0,77.0,-24.0,77.0,3.0,27.0,26.0,27.0
Egypt,2024-03-01,435.0,575.0,395.0,529.0,468.0,695.0,323.0,554.0,446.0,706.0,-140.0,461.0,580.0,437.0
Eritrea,2024-03-01,55.0,129.0,26.0,247.0,99.0,199.0,76.0,192.0,14.0,247.0,-74.0,136.0,149.0,132.0
Georgia,2024-03-01,65.0,27.0,50.0,72.0,21.0,39.0,-2.0,55.0,-2.0,55.0,38.0,62.0,29.0,27.0
India,2024-03-01,0.0,11.0,1.0,15.0,13.0,28.0,-41.0,63.0,-41.0,63.0,-11.0,7.0,22.0,11.0
Iran,2024-03-01,70.0,40.0,46.0,71.0,14.0,42.0,-10.0,91.0,-10.0,91.0,30.0,59.0,28.0,40.0
Iraq,2024-03-01,120.0,105.0,40.0,155.0,-6.0,216.0,48.0,189.0,-6.0,216.0,15.0,97.0,105.0,117.0
Pakistan,2024-03-01,85.0,107.0,74.0,117.0,86.0,148.0,33.0,128.0,55.0,156.0,-22.0,96.0,117.0,82.0
Palestine,2024-03-01,105.0,162.0,-4.0,257.0,64.0,289.0,20.0,267.0,-5.0,331.0,-57.0,126.0,177.0,142.0
Sierra Leone,2024-03-01,110.0,66.0,73.0,116.0,26.0,74.0,18.0,86.0,31.0,104.0,44.0,94.0,50.0,51.0
Somalia,2024-03-01,35.0,71.0,25.0,71.0,29.0,93.0,32.0,124.0,26.0,119.0,-36.0,47.0,60.0,77.0
Syria,2024-03-01,860.0,715.0,361.0,1159.0,221.0,993.0,284.0,866.0,251.0,1178.0,145.0,760.0,607.0,576.0
Türkiye,2024-03-01,370.0,351.0,277.0,390.0,254.0,426.0,193.0,322.0,263.0,436.0,19.0,333.0,341.0,258.0
Yemen,2024-03-01,80.0,103.0,62.0,137.0,66.0,142.0,44.0,120.0,46.0,161.0,-23.0,100.0,105.0,82.0
