"year","type_of_violence","conflict_name","side_a","side_b","source_date","country","event_clarity","deaths_civilians","date_start","date_end"
2023,1,"XXX770","XXX770","XXX770","43657","Afghanistan",1,0,2023-07-12,2023-07-12
2023,2,"XXX770 - XXX770","XXX770","XXX770","43659","Afghanistan",1,0,2023-07-12,2023-07-14
2023,1,"Pakistan: Government","Government of Pakistan","TTP","43495","Afghanistan",1,0,2023-01-30,2023-01-30
2023,1,"Pakistan: Government","Government of Pakistan","TTP","2023-02-15;2023-02-15;2023-02-18","Afghanistan",1,1,2023-02-14,2023-02-14
2023,1,"Pakistan: Government","Government of Pakistan","TTP","2023-03-01;2023-03-01;2023-03-02;2023-03-02;2023-03-03","Afghanistan",1,0,2023-03-01,2023-03-01
2023,1,"Pakistan: Government","Government of Pakistan","TTP","2023-08-19;2023-08-19","Afghanistan",1,0,2023-08-17,2023-08-17
2023,1,"Pakistan: Government","Government of Pakistan","TTP","43699","Afghanistan",1,0,2023-08-23,2023-08-23
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43760","Afghanistan",2,0,2023-01-01,2023-09-30
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43469","Afghanistan",1,1,2023-01-04,2023-01-04
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43476","Afghanistan",1,0,2023-01-10,2023-01-10
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43476","Afghanistan",1,1,2023-01-12,2023-01-12
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-01-23;2023-01-25","Afghanistan",1,0,2023-01-15,2023-01-22
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-01-25;2023-01-23;2023-01-24","Afghanistan",1,0,2023-01-22,2023-01-22
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-01-27;2023-01-26","Afghanistan",1,0,2023-01-25,2023-01-25
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-01-26;2023-01-27","Afghanistan",1,0,2023-01-26,2023-01-26
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-01-28;2023-01-28;2023-01-29;2023-08-31","Afghanistan",1,0,2023-01-26,2023-01-27
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43495","Afghanistan",1,1,2023-01-30,2023-01-30
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-02-04;2023-08-31","Afghanistan",1,7,2023-02-03,2023-02-03
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-02-13;2023-02-11","Afghanistan",1,0,2023-02-10,2023-02-10
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43707","Afghanistan",1,0,2023-02-18,2023-02-18
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43516","Afghanistan",1,1,2023-02-19,2023-02-21
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-02-25;2023-02-25","Afghanistan",1,0,2023-02-24,2023-02-24
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-03-06;2023-03-07","Afghanistan",1,0,2023-03-06,2023-03-06
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-03-08;2023-03-08;2023-03-10;2023-03-10;2023-03-08;2023-03-10;2023-03-08","Afghanistan",1,0,2023-03-07,2023-03-07
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-03-10;2023-03-10","Afghanistan",1,1,2023-03-10,2023-03-10
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-08-31;2023-03-14;2023-03-12","Afghanistan",1,0,2023-03-12,2023-03-12
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-03-16;2023-08-31","Afghanistan",1,0,2023-03-14,2023-03-15
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43707","Afghanistan",1,1,2023-03-15,2023-03-15
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-03-26;2023-03-25","Afghanistan",1,0,2023-03-23,2023-03-23
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-03-25;2023-03-24","Afghanistan",1,1,2023-03-24,2023-03-24
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43555","Afghanistan",1,0,2023-03-31,2023-03-31
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43707","Afghanistan",1,0,2023-04-10,2023-04-10
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43570","Afghanistan",1,1,2023-04-14,2023-04-14
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-04-18;2023-04-18","Afghanistan",1,3,2023-04-18,2023-04-18
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-05-01;2023-04-30","Afghanistan",1,1,2023-04-27,2023-04-27
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43586","Afghanistan",1,1,2023-05-02,2023-05-02
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-05-07;2023-05-07;2023-05-07","Afghanistan",1,0,2023-05-06,2023-05-06
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-05-14;2023-05-14","Afghanistan",1,0,2023-05-11,2023-05-13
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43600","Afghanistan",1,0,2023-05-15,2023-05-15
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-05-17;2023-05-17;2023-05-17;2023-08-22","Afghanistan",1,1,2023-05-15,2023-05-17
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43612","Afghanistan",1,0,2023-05-26,2023-05-26
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43612","Afghanistan",1,2,2023-05-27,2023-05-27
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43612","Afghanistan",1,0,2023-05-28,2023-05-28
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43618","Afghanistan",1,0,2023-06-03,2023-06-03
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43632","Afghanistan",1,0,2023-06-13,2023-06-13
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43635","Afghanistan",1,0,2023-06-18,2023-06-18
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43642","Afghanistan",1,1,2023-06-26,2023-06-26
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-07-06;2023-07-07","Afghanistan",1,0,2023-07-06,2023-07-06
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43657","Afghanistan",1,0,2023-07-10,2023-07-10
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-07-21;2023-07-23","Afghanistan",1,0,2023-07-20,2023-07-22
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43669","Afghanistan",1,0,2023-07-22,2023-07-24
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43672","Afghanistan",1,0,2023-07-25,2023-07-25
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-07-30;2023-07-29;2023-07-29;2023-10-23","Afghanistan",1,4,2023-07-28,2023-07-29
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-07-28;2023-07-29","Afghanistan",1,1,2023-07-28,2023-07-28
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43687","Afghanistan",1,0,2023-08-08,2023-08-10
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43693","Afghanistan",1,0,2023-08-16,2023-08-16
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-08-24;2023-08-26;2023-09-03","Afghanistan",1,0,2023-08-21,2023-08-21
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-08-28;2023-08-28","Afghanistan",1,1,2023-08-27,2023-08-27
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-09-07;2023-09-26","Afghanistan",1,2,2023-09-07,2023-09-07
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-09-13;2023-09-12","Afghanistan",1,0,2023-09-11,2023-09-11
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43719","Afghanistan",1,1,2023-09-11,2023-09-11
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43726","Afghanistan",1,0,2023-09-14,2023-09-14
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43724","Afghanistan",1,0,2023-09-16,2023-09-16
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-09-21;2023-09-24;2023-10-23","Afghanistan",1,0,2023-09-19,2023-09-21
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43740","Afghanistan",1,1,2023-10-02,2023-10-02
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43753","Afghanistan",1,0,2023-10-14,2023-10-14
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-10-25;2023-10-25","Afghanistan",1,4,2023-10-25,2023-10-25
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43787","Afghanistan",1,0,2023-11-16,2023-11-16
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43786","Afghanistan",1,0,2023-11-16,2023-11-16
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-11-21;2023-11-21","Afghanistan",1,0,2023-11-18,2023-11-20
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43789","Afghanistan",1,0,2023-11-20,2023-11-20
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","43800","Afghanistan",1,0,2023-12-01,2023-12-01
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-12-11;2023-12-10","Afghanistan",1,2,2023-12-09,2023-12-09
2023,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2023-12-29;2023-12-26;2023-12-27","Afghanistan",1,0,2023-12-26,2023-12-26
2023,3,"IS - Civilians","IS","Civilians","2023-03-12;2023-03-14;2023-03-18;2023-03-14;2023-03-11;2023-03-11;2023-03-12;2023-03-11;2023-03-11;2023-03-12;2023-03-12;2023-03-12","Afghanistan",1,2,2023-03-11,2023-03-11
2023,3,"IS - Civilians","IS","Civilians","2023-10-14;2023-10-13;2023-10-13;2023-10-13;2023-10-13;2023-10-14;2023-10-16;2023-10-15;2023-10-13;2023-11-02;2023-11-01;2023-10-13","Afghanistan",1,19,2023-10-13,2023-10-13
2023,3,"IS - Civilians","IS","Civilians","2023-10-28;2023-10-26;2023-10-27;2023-10-28;2023-10-27;2023-10-26;2023-10-28;2023-10-28","Afghanistan",1,6,2023-10-26,2023-10-26
2023,3,"IS - Civilians","IS","Civilians","2023-11-07;2023-11-07;2023-11-08;2023-11-07;2023-11-08;2023-11-07;2023-11-07;2023-11-08;2023-11-07;2023-11-07","Afghanistan",1,7,2023-11-07,2023-11-07
2023,3,"IS - Civilians","IS","Civilians","2023-11-23;2023-11-23","Afghanistan",1,2,2023-11-23,2023-11-23
2023,3,"IS - Civilians","IS","Civilians","2023-12-01;2023-12-01;2023-12-01;2023-12-01;2023-12-02;2023-12-01;2023-12-03;2023-12-02;2023-12-01;2023-12-01;2023-12-01","Afghanistan",1,6,2023-12-01,2023-12-01
2023,3,"Government of Pakistan - Civilians","Government of Pakistan","Civilians","43513","Afghanistan",1,1,2023-02-17,2023-02-17
2023,3,"Government of Pakistan - Civilians","Government of Pakistan","Civilians","2023-05-16;2023-05-16;2023-05-16;2023-05-16;2023-05-17;2023-05-16;2023-05-16;2023-05-17;2023-05-16;2023-05-16","Afghanistan",1,2,2023-05-16,2023-05-16
2023,1,"XXX770","Government of Pakistan","Forces of Hafiz Gul Bahadur","2023-08-14;2023-08-14;2023-08-14;2023-08-14;2023-08-14;2023-08-14;2023-08-14;2023-08-14;2023-08-14;2023-08-14;2023-08-14","Afghanistan",1,1,2023-08-14,2023-08-14
2023,1,"Afghanistan - Pakistan","Government of Afghanistan","Government of Pakistan","2023-02-20;2023-02-24","Afghanistan",1,0,2023-02-20,2023-02-20
2023,1,"Afghanistan - Pakistan","Government of Afghanistan","Government of Pakistan","2023-06-26;2023-06-26;2023-06-26;2023-06-26;2023-06-27","Afghanistan",1,0,2023-06-25,2023-06-25
2023,1,"Afghanistan - Pakistan","Government of Afghanistan","Government of Pakistan","2023-09-06;2023-09-06;2023-09-07;2023-09-09;2023-09-06;2023-09-06;2023-09-11;2023-12-01","Afghanistan",1,4,2023-09-06,2023-09-06
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2023-01-02;2023-01-01;2023-01-01;2023-01-01;2023-01-02","Afghanistan",1,5,2023-01-01,2023-01-01
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2023-01-05;2023-01-05","Afghanistan",1,0,2023-01-04,2023-01-04
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2023-01-05;2023-01-05","Afghanistan",1,0,2023-01-04,2023-01-04
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","43470","Afghanistan",1,0,2023-01-04,2023-01-04
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2023-01-11;2023-01-11;2023-01-11;2023-01-12;2023-01-13;2023-01-12;2023-01-11;2023-01-11;2023-01-13;2023-06-27","Afghanistan",1,5,2023-01-11,2023-01-11
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2023-02-13;2023-02-14;2023-02-13;2023-02-14;2023-02-14;2023-02-28;2023-02-14;2023-02-21","Afghanistan",1,0,2023-02-13,2023-02-13
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2023-02-25;2023-02-25;2023-02-26;2023-02-25;2023-02-25","Afghanistan",1,0,2023-02-25,2023-02-25
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2023-02-27;2023-02-26;2023-02-26;2023-02-27;2023-02-28","Afghanistan",1,0,2023-02-26,2023-02-26
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2023-03-04;2023-03-04;2023-03-04;2023-03-04;2023-03-04;2023-03-06;2023-03-04;2023-03-04;2023-03-04;2023-03-04","Afghanistan",1,0,2023-03-03,2023-03-03
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2023-03-08;2023-03-08;2023-03-08","Afghanistan",1,0,2023-03-08,2023-03-08
