"year","type_of_violence","conflict_name","side_a","side_b","source_date","country","event_clarity","deaths_civilians","date_start","date_end"
2024,1,"Pakistan: Government","Government of Pakistan","TTP","2024-04-02","Pakistan",1,0,2024-04-02,2024-04-02
2024,1,"Iran - Israel","Government of Iran","Government of Israel","2024-04-01;2024-04-03","Syria",1,2,2024-04-01,2024-04-01
2024,1,"Syria: Government","Government of Syria","Syrian insurgents","2024-04-01","Syria",1,0,2024-04-01,2024-04-01
2024,1,"Syria: Government","Government of Syria","Syrian insurgents","2024-04-01","Syria",1,0,2024-04-01,2024-04-01
2024,1,"Syria: Government/Rojava Kurdistan","Government of Syria","SDF","2024-04-01","Syria",1,1,2024-04-01,2024-04-01
2024,1,"Syria: Islamic State","Government of Syria","IS","2024-04-01","Syria",1,0,2024-04-01,2024-04-01
2024,1,"Syria: Islamic State","Government of Syria","IS","2024-04-01","Syria",1,0,2024-04-01,2024-04-01
2024,1,"Syria: Government","Government of Syria","Syrian insurgents","2024-04-01","Syria",1,2,2024-04-01,2024-04-01
2024,1,"Syria: Government","Government of Syria","Syrian insurgents","2024-04-01","Syria",1,0,2024-04-01,2024-04-01
2024,1,"Syria: Government","Government of Syria","Syrian insurgents","2024-04-01","Syria",1,0,2024-04-01,2024-04-01
2024,3,"SNA - Civilians","SNA","Civilians","2024-04-01","Syria",1,1,2024-04-01,2024-04-01
2024,2,"IS - JUI-F","IS","JUI-F","2024-04-02;2024-04-02;2024-04-07;2024-04-07","Pakistan",1,0,2024-04-02,2024-04-02
2024,1,"Pakistan: Government","Government of Pakistan","HGB","2024-04-01;2024-04-01","Pakistan",1,0,2024-04-01,2024-04-01
2024,1,"Pakistan: Government","Government of Pakistan","TTP","2024-04-04","Pakistan",1,0,2024-04-04,2024-04-04
2024,1,"Australia, Bahrain, Canada, France, Italy, Netherlands, New Zeeland, Norway, Spain, United Kingdom, United States of America - Yemen","Government of Australia, Government of Bahrain, Government of Canada, Government of France, Government of Italy, Government of Netherlands, Government of New Zealand, Government of Norway, Government of Spain, Government of United Kingdom, Government of United States of America","Government of Yemen (North Yemen)","2024-03-15;2024-04-05","Yemen (North Yemen)",2,0,2024-03-15,2024-04-04
2024,1,"India: Government","Government of India","CPI-Maoist","2024-04-02;2024-04-01;2024-04-02","India",1,0,2024-04-01,2024-04-01
2024,1,"India: Government","Government of India","CPI-Maoist","2024-04-02;2024-04-02;2024-04-02;2024-04-02;2024-04-04;2024-05-06","India",1,0,2024-04-02,2024-04-02
2024,1,"India: Government","Government of India","CPI-Maoist","2024-04-02;2024-04-01","India",1,0,2024-04-01,2024-04-02
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-01","Israel",1,2,2024-04-01,2024-04-01
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-01","Israel",1,0,2024-04-01,2024-04-01
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-01;2024-04-05","Israel",1,3,2024-04-01,2024-04-01
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-01;2024-04-03","Israel",1,7,2024-04-01,2024-04-01
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-01","Israel",1,1,2024-04-01,2024-04-01
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-02;2024-04-05","Israel",1,4,2024-04-02,2024-04-02
2024,1,"Turkey: Kurdistan","Government of Turkey","PKK","2024-04-01","Iraq",1,0,2024-04-01,2024-04-01
2024,1,"Turkey: Kurdistan","Government of Turkey","PKK","2024-04-02;2024-04-02","Iraq",1,0,2024-04-02,2024-04-02
2024,2,"XXX640 - XXX640","XXX640","XXX640","2024-04-03","Turkey",1,1,2024-04-02,2024-04-02
2024,3,"JAS - Civilians","JAS","Civilians","2024-04-04","Cameroon",1,1,2024-04-03,2024-04-03
2024,1,"Somalia: Government","Government of Somalia","Al-Shabaab","2024-04-03","Somalia",1,0,2024-04-01,2024-04-02
2024,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2024-04-05","Afghanistan",1,0,2024-04-03,2024-04-05
2024,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2024-04-11;2024-04-11;2024-04-12;2024-04-11","Afghanistan",1,0,2024-04-10,2024-04-11
2024,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2024-04-07;2024-04-07","Afghanistan",1,1,2024-04-06,2024-04-06
2024,1,"Israel: Palestine","Government of Israel","PIJ","2024-04-02","Israel",1,1,2024-04-02,2024-04-02
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-02;2024-04-02","Israel",1,0,2024-04-02,2024-04-02
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-02","Israel",1,0,2024-04-02,2024-04-02
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-02","Israel",1,0,2024-04-02,2024-04-02
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-02","Israel",1,0,2024-04-02,2024-04-02
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-02;2024-04-05","Israel",1,6,2024-04-02,2024-04-02
