"year","type_of_violence","conflict_name","side_a","side_b","source_date","country","event_clarity","deaths_civilians","date_start","date_end"
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-01-03","Israel",1,0,2024-01-03,2024-01-03
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-01-03","Israel",1,0,2024-01-03,2024-01-03
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-01-03","Israel",1,1,2024-01-03,2024-01-03
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-01-03","Israel",1,4,2024-01-03,2024-01-03
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-01-03;2024-01-04","Israel",1,0,2024-01-03,2024-01-03
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-01-03;2024-01-03","Israel",1,0,2024-01-03,2024-01-03
2024,1,"Turkey: Kurdistan","Government of Turkey","PKK","2024-01-02","Iraq",1,0,2024-01-02,2024-01-02
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-01-03","Israel",1,0,2024-01-03,2024-01-03
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-01-03","Israel",1,0,2024-01-03,2024-01-03
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-01-03","Israel",1,0,2024-01-03,2024-01-03
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-01-03","Israel",1,0,2024-01-03,2024-01-03
2024,3,"IS - Civilians","IS","Civilians","2024-01-06;2024-01-06;2024-01-06;2024-01-07;2024-01-06;2024-01-07;2024-01-07;2024-01-07;2024-01-07;2024-01-07;2024-01-06;2024-01-08;2024-01-06;2024-01-07;2024-01-08;2024-01-31;2024-01-11","Afghanistan",1,5,2024-01-06,2024-01-06
2024,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2024-01-02","Afghanistan",1,0,2024-01-01,2024-01-01
2024,3,"IS - Civilians","IS","Civilians","2024-01-31;2024-01-06;2024-01-05","Afghanistan",1,1,2024-01-02,2024-01-02
2024,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2024-01-04","Afghanistan",1,0,2024-01-04,2024-01-04
