country,sex,age_group,year_month,True Values,Ensemble Prediction,XGBoost Lower CI,XGBoost Upper CI,LSTM Lower CI,LSTM Upper CI,NN Lower CI,NN Upper CI,Ensemble Lower CI,Ensemble Upper CI,Residuals,XGBoost Prediction,LSTM Prediction,NN Prediction
Afghanistan,female,adult,2024-03-01,295.0,329.0,209.0,450.0,373.0,610.0,273.0,420.0,209.0,450.0,-34.0,329.0,491.0,347.0
Afghanistan,female,minor,2024-03-01,565.0,629.0,371.0,887.0,726.0,1037.0,630.0,883.0,371.0,887.0,-64.0,629.0,881.0,756.0
Afghanistan,male,adult,2024-03-01,410.0,471.0,288.0,654.0,586.0,861.0,444.0,603.0,288.0,654.0,-61.0,471.0,723.0,524.0
Afghanistan,male,minor,2024-03-01,655.0,712.0,399.0,1026.0,798.0,1112.0,799.0,1093.0,399.0,1026.0,-57.0,712.0,955.0,946.0
Albania,female,adult,2024-03-01,20.0,9.0,15.0,18.0,5.0,8.0,1.0,17.0,1.0,17.0,11.0,16.0,7.0,9.0
Albania,female,minor,2024-03-01,10.0,9.0,13.0,15.0,5.0,8.0,1.0,17.0,1.0,17.0,1.0,14.0,7.0,9.0
Albania,male,adult,2024-03-01,20.0,13.0,18.0,23.0,6.0,10.0,4.0,22.0,4.0,22.0,7.0,20.0,8.0,13.0
Albania,male,minor,2024-03-01,0.0,5.0,6.0,7.0,5.0,8.0,-4.0,13.0,-4.0,13.0,-5.0,6.0,6.0,5.0
Bangladesh,female,adult,2024-03-01,0.0,-1.0,-0.0,1.0,4.0,7.0,-6.0,3.0,-6.0,3.0,1.0,0.0,5.0,-1.0
Bangladesh,female,minor,2024-03-01,0.0,-1.0,-0.0,1.0,4.0,7.0,-6.0,3.0,-6.0,3.0,1.0,0.0,5.0,-1.0
Bangladesh,male,adult,2024-03-01,65.0,59.0,42.0,75.0,25.0,53.0,29.0,57.0,42.0,75.0,6.0,59.0,39.0,43.0
Bangladesh,male,minor,2024-03-01,0.0,1.0,-1.0,2.0,4.0,7.0,-6.0,9.0,-6.0,9.0,-1.0,0.0,6.0,1.0
Cameroon,female,adult,2024-03-01,5.0,7.0,6.0,9.0,4.0,8.0,-0.0,14.0,-0.0,14.0,-2.0,7.0,6.0,7.0
Cameroon,female,minor,2024-03-01,0.0,3.0,3.0,5.0,4.0,7.0,-3.0,9.0,-3.0,9.0,-3.0,4.0,6.0,3.0
Cameroon,male,adult,2024-03-01,15.0,10.0,12.0,15.0,5.0,9.0,3.0,18.0,3.0,18.0,5.0,13.0,7.0,10.0
Cameroon,male,minor,2024-03-01,0.0,1.0,-1.0,1.0,4.0,7.0,-5.0,7.0,-5.0,7.0,-1.0,0.0,5.0,1.0
Democratic Republic of the Congo,female,adult,2024-03-01,5.0,7.0,5.0,7.0,4.0,9.0,-6.0,20.0,-6.0,20.0,-2.0,6.0,7.0,7.0
Democratic Republic of the Congo,female,minor,2024-03-01,10.0,6.0,5.0,8.0,4.0,9.0,-6.0,19.0,-6.0,19.0,4.0,7.0,6.0,6.0
Democratic Republic of the Congo,male,adult,2024-03-01,5.0,8.0,6.0,9.0,4.0,10.0,-5.0,20.0,-5.0,20.0,-3.0,7.0,7.0,8.0
Democratic Republic of the Congo,male,minor,2024-03-01,10.0,6.0,5.0,9.0,4.0,8.0,-7.0,18.0,-7.0,18.0,4.0,7.0,6.0,6.0
Egypt,female,adult,2024-03-01,0.0,2.0,1.0,4.0,4.0,7.0,-7.0,12.0,-7.0,12.0,-2.0,2.0,5.0,2.0
Egypt,female,minor,2024-03-01,5.0,3.0,1.0,4.0,4.0,7.0,-7.0,13.0,-7.0,13.0,2.0,2.0,5.0,3.0
Egypt,male,adult,2024-03-01,240.0,315.0,222.0,263.0,256.0,374.0,182.0,287.0,256.0,374.0,-75.0,243.0,315.0,234.0
Egypt,male,minor,2024-03-01,190.0,255.0,171.0,258.0,204.0,307.0,155.0,242.0,204.0,307.0,-65.0,214.0,255.0,198.0
