country,year_month,Conflict,Economic,Governance,Other,Political,Social,Unknown,push_factor_index
Afghanistan,01/05/2010,128,0,1,0,19,17,0,165
Afghanistan,02/05/2010,197,0,-8,0,24,39,0,252
Afghanistan,03/05/2010,303,0,0,0,16,31,0,350
Afghanistan,04/05/2010,159,2,1,0,52,39,0,253
Afghanistan,05/05/2010,153,0,-2,0,28,8,0,187
Afghanistan,06/05/2010,27,0,0,0,6,1,0,34
Afghanistan,07/05/2010,7,0,0,0,6,1,0,14
Afghanistan,08/05/2010,34,0,1,0,12,0,0,47
Afghanistan,09/05/2010,59,0,0,0,9,0,0,68
Afghanistan,10/05/2010,74,0,0,0,21,10,0,105
Afghanistan,11/05/2010,147,0,1,0,49,8,0,205
Afghanistan,12/05/2010,158,0,0,0,24,31,0,213
Afghanistan,13/05/2010,27,0,0,0,1,8,0,36
Afghanistan,14/05/2010,39,0,0,0,5,0,0,44
Afghanistan,15/05/2010,48,4,2,0,16,0,0,70
Afghanistan,16/05/2010,74,2,0,0,18,2,0,96
Afghanistan,17/05/2010,95,0,0,0,29,5,0,129
Afghanistan,18/05/2010,67,2,-5,0,9,17,0,90
Afghanistan,19/05/2010,112,0,1,0,12,16,0,141
Afghanistan,20/05/2010,20,0,0,0,-3,2,0,19
Afghanistan,21/05/2010,53,0,0,0,12,7,0,72
Afghanistan,22/05/2010,110,0,0,0,15,0,0,125
Afghanistan,23/05/2010,213,2,0,0,54,11,0,280
Afghanistan,24/05/2010,39,0,0,0,1,1,0,41
Afghanistan,25/05/2010,150,2,0,0,6,17,0,175
Afghanistan,26/05/2010,164,0,1,0,11,24,0,200
Afghanistan,27/05/2010,129,0,4,0,9,9,0,151
Afghanistan,28/05/2010,91,2,0,0,9,2,0,104
Afghanistan,29/05/2010,193,2,0,0,21,11,0,227
Afghanistan,30/05/2010,94,0,0,0,41,16,0,151
Afghanistan,31/05/2010,54,0,1,0,6,2,0,63
Albania,01/05/2010,2,0,0,0,3,8,0,13
Albania,02/05/2010,0,0,0,0,18,0,0,18
Albania,03/05/2010,5,0,0,0,3,0,0,8
Albania,04/05/2010,2,0,-2,0,0,0,0,0
Albania,05/05/2010,2,0,-1,0,0,0,0,1
Albania,06/05/2010,0,0,0,0,0,4,0,4
Albania,07/05/2010,0,0,-4,0,0,2,0,-2
Albania,10/05/2010,51,0,-2,0,12,1,0,62
Albania,11/05/2010,26,0,0,0,6,0,0,32
Albania,12/05/2010,56,0,0,0,6,0,0,62
Albania,13/05/2010,8,0,1,0,0,3,0,12
