country,year_month,Conflict,Economic,Governance,Political,Social,push_factor_index
Afghanistan,2010-05-01,128,0,1,19,17,165
Afghanistan,2010-05-01,197,0,-8,24,39,252
Afghanistan,2010-05-01,303,0,0,16,31,350
Afghanistan,2010-05-01,159,2,1,52,39,253
Afghanistan,2010-05-01,153,0,-2,28,8,187
Afghanistan,2010-05-01,27,0,0,6,1,34
Afghanistan,2010-05-01,7,0,0,6,1,14
Afghanistan,2010-05-01,34,0,1,12,0,47
Afghanistan,2010-05-01,59,0,0,9,0,68
Afghanistan,2010-05-01,74,0,0,21,10,105
Afghanistan,2010-05-01,147,0,1,49,8,205
Afghanistan,2010-05-01,158,0,0,24,31,213
Afghanistan,2010-05-01,27,0,0,1,8,36
Afghanistan,2010-05-01,39,0,0,5,0,44
Afghanistan,2010-05-01,48,4,2,16,0,70
Afghanistan,2010-05-01,74,2,0,18,2,96
Afghanistan,2010-05-01,95,0,0,29,5,129
Afghanistan,2010-05-01,67,2,-5,9,17,90
Afghanistan,2010-05-01,112,0,1,12,16,141
Afghanistan,2010-05-01,20,0,0,-3,2,19
Afghanistan,2010-05-01,53,0,0,12,7,72
Afghanistan,2010-05-01,110,0,0,15,0,125
Afghanistan,2010-05-01,213,2,0,54,11,280
Afghanistan,2010-05-01,39,0,0,1,1,41
Afghanistan,2010-05-01,150,2,0,6,17,175
Afghanistan,2010-05-01,164,0,1,11,24,200
Afghanistan,2010-05-01,129,0,4,9,9,151
Afghanistan,2010-05-01,91,2,0,9,2,104
Afghanistan,2010-05-01,193,2,0,21,11,227
Afghanistan,2010-05-01,94,0,0,41,16,151
Afghanistan,2010-05-01,54,0,1,6,2,63
Albania,2010-05-01,2,0,0,3,8,13
Albania,2010-05-01,0,0,0,18,0,18
Albania,2010-05-01,5,0,0,3,0,8
Albania,2010-05-01,2,0,-2,0,0,0
Albania,2010-05-01,2,0,-1,0,0,1
Albania,2010-05-01,0,0,0,0,4,4
Albania,2010-05-01,0,0,-4,0,2,-2
Albania,2010-05-01,51,0,-2,12,1,62
Albania,2010-05-01,26,0,0,6,0,32
Albania,2010-05-01,56,0,0,6,0,62
Albania,2010-05-01,8,0,1,0,3,12
Albania,2010-05-01,3,0,0,0,0,3
Albania,2010-05-01,0,0,0,0,0,0
Albania,2010-05-01,7,0,0,0,0,7
Albania,2010-05-01,4,0,-6,6,5,9
Albania,2010-05-01,29,0,1,9,2,41
Albania,2010-05-01,12,0,0,4,4,20
Albania,2010-05-01,1,0,0,0,2,3
Albania,2010-05-01,5,0,0,3,0,8
Albania,2010-05-01,5,0,0,6,0,11
Albania,2010-05-01,5,0,1,0,0,6
Albania,2010-05-01,3,0,0,0,0,3
Albania,2010-05-01,0,0,0,0,0,0
Albania,2010-05-01,0,0,0,0,0,0
Albania,2010-05-01,32,0,0,3,17,52
Albania,2010-05-01,0,0,0,0,0,0
Algeria,2010-05-01,18,0,0,6,0,24
Algeria,2010-05-01,17,0,0,0,0,17
Algeria,2010-05-01,4,0,1,21,0,26
Algeria,2010-05-01,2,0,-1,0,0,1
Algeria,2010-05-01,0,0,0,0,0,0
Algeria,2010-05-01,0,0,0,0,0,0
Algeria,2010-05-01,0,0,0,0,0,0
Algeria,2010-05-01,0,0,0,0,0,0
Algeria,2010-05-01,0,0,0,1,0,1
Algeria,2010-05-01,-1,0,0,1,0,0
Algeria,2010-05-01,4,0,0,0,0,4
Algeria,2010-05-01,0,0,0,9,0,9
Algeria,2010-05-01,0,0,0,-6,0,-6
Algeria,2010-05-01,1,0,0,16,0,17
Algeria,2010-05-01,0,0,0,0,0,0
Algeria,2010-05-01,0,0,0,-4,0,-4
Algeria,2010-05-01,0,0,0,7,0,7
Algeria,2010-05-01,1,0,0,12,0,13
Algeria,2010-05-01,1,0,0,9,0,10
Algeria,2010-05-01,2,0,0,0,0,2
Algeria,2010-05-01,5,0,0,0,1,6
Algeria,2010-05-01,0,0,0,0,1,1
Algeria,2010-05-01,5,0,0,-1,0,4
Algeria,2010-05-01,0,0,0,0,0,0
Algeria,2010-05-01,0,0,0,9,0,9
Algeria,2010-05-01,2,0,0,1,0,3
Algeria,2010-05-01,4,0,0,0,0,4
Algeria,2010-05-01,1,0,0,0,0,1
Algeria,2010-05-01,0,0,0,3,0,3
Algeria,2010-05-01,3,0,0,0,0,3
Algeria,2010-05-01,32,0,0,0,2,34
Bangladesh,2010-05-01,11,0,-3,2,0,10
Bangladesh,2010-05-01,18,0,0,4,0,22
Bangladesh,2010-05-01,28,0,-2,0,5,31
Bangladesh,2010-05-01,1,0,0,3,1,5
Bangladesh,2010-05-01,5,4,-4,21,1,27
Bangladesh,2010-05-01,0,0,0,-3,0,-3
Bangladesh,2010-05-01,3,0,0,0,0,3
Bangladesh,2010-05-01,0,0,0,0,0,0
Bangladesh,2010-05-01,-1,0,0,0,0,-1
Bangladesh,2010-05-01,4,0,0,12,0,16
Bangladesh,2010-05-01,6,0,0,1,0,7
Bangladesh,2010-05-01,3,0,0,0,0,3
Bangladesh,2010-05-01,4,0,0,0,0,4
Bangladesh,2010-05-01,0,0,0,0,0,0
Bangladesh,2010-05-01,2,0,0,-1,0,1
Bangladesh,2010-05-01,26,0,0,3,0,29
Bangladesh,2010-05-01,6,0,0,-1,0,5
Bangladesh,2010-05-01,-2,0,0,0,0,-2
Bangladesh,2010-05-01,3,0,0,3,0,6
Bangladesh,2010-05-01,6,0,0,0,0,6
Bangladesh,2010-05-01,2,0,0,0,0,2
Bangladesh,2010-05-01,3,0,0,0,0,3
Bangladesh,2010-05-01,2,0,0,0,1,3
Bangladesh,2010-05-01,1,0,0,2,0,3
Bangladesh,2010-05-01,2,0,0,-4,0,-2
Bangladesh,2010-05-01,2,0,0,-2,2,2
Bangladesh,2010-05-01,6,0,0,15,5,26
Bangladesh,2010-05-01,3,0,0,7,0,10
Bangladesh,2010-05-01,19,0,2,22,0,43
Bangladesh,2010-05-01,10,0,3,25,9,47
Bangladesh,2010-05-01,0,0,0,0,0,0
Cameroon,2010-05-01,3,0,0,0,0,3
Cameroon,2010-05-01,3,0,0,6,0,9
Cameroon,2010-05-01,0,0,0,0,0,0
Cameroon,2010-05-01,0,0,0,0,0,0
Cameroon,2010-05-01,0,0,0,0,0,0
Cameroon,2010-05-01,0,0,0,0,0,0
Cameroon,2010-05-01,2,0,0,0,0,2
Cameroon,2010-05-01,5,0,0,1,0,6
Cameroon,2010-05-01,0,0,0,0,0,0
Cameroon,2010-05-01,0,0,0,4,0,4
Cameroon,2010-05-01,0,0,0,6,0,6
Cameroon,2010-05-01,2,0,0,0,0,2
Cameroon,2010-05-01,2,0,0,3,0,5
Cameroon,2010-05-01,3,0,0,0,0,3
Cameroon,2010-05-01,0,0,0,0,0,0
Cameroon,2010-05-01,0,0,0,0,0,0
Cameroon,2010-05-01,0,0,0,0,0,0
China,2010-05-01,44,2,0,10,12,68
China,2010-05-01,92,0,-2,13,7,110
China,2010-05-01,55,2,-4,47,25,125
China,2010-05-01,32,0,0,47,7,86
China,2010-05-01,67,0,-2,39,22,126
China,2010-05-01,13,0,0,5,0,18
China,2010-05-01,12,0,0,15,0,27
China,2010-05-01,5,0,0,12,0,17
China,2010-05-01,-4,0,0,3,2,1
China,2010-05-01,12,0,1,-1,3,15
China,2010-05-01,43,0,-1,5,8,55
China,2010-05-01,58,4,0,4,20,86
China,2010-05-01,23,0,0,15,4,42
China,2010-05-01,37,0,0,14,3,54
China,2010-05-01,44,2,0,70,2,118
China,2010-05-01,8,0,0,21,1,30
China,2010-05-01,43,0,1,21,5,70
China,2010-05-01,50,0,0,32,8,90
China,2010-05-01,77,2,-1,27,3,108
China,2010-05-01,40,0,0,2,2,44
China,2010-05-01,14,0,-1,12,9,34
China,2010-05-01,51,2,3,24,4,84
China,2010-05-01,26,0,2,20,2,50
China,2010-05-01,5,0,1,17,2,25
China,2010-05-01,25,0,0,11,12,48
China,2010-05-01,82,0,0,15,5,102
China,2010-05-01,13,0,0,-1,4,16
China,2010-05-01,30,2,0,23,6,61
China,2010-05-01,69,0,0,-6,2,65
China,2010-05-01,70,0,0,16,0,86
China,2010-05-01,-8,0,0,6,4,2
Egypt,2010-05-01,54,0,0,10,4,68
Egypt,2010-05-01,56,0,0,4,6,66
Egypt,2010-05-01,29,0,-1,18,6,52
Egypt,2010-05-01,19,0,1,21,0,41
Egypt,2010-05-01,13,0,0,27,0,40
Egypt,2010-05-01,6,0,0,0,0,6
Egypt,2010-05-01,9,0,0,2,18,29
Egypt,2010-05-01,10,0,0,3,4,17
Egypt,2010-05-01,8,0,0,12,0,20
Egypt,2010-05-01,22,0,0,15,0,37
Egypt,2010-05-01,19,0,0,-2,0,17
Egypt,2010-05-01,12,0,0,-5,5,12
Egypt,2010-05-01,9,0,0,15,14,38
Egypt,2010-05-01,21,0,1,21,0,43
Egypt,2010-05-01,22,0,0,3,0,25
Egypt,2010-05-01,17,0,0,0,0,17
Egypt,2010-05-01,21,0,0,18,2,41
Egypt,2010-05-01,30,0,0,0,0,30
Egypt,2010-05-01,12,0,0,8,6,26
Egypt,2010-05-01,14,0,0,4,5,23
Egypt,2010-05-01,6,0,0,9,5,20
Egypt,2010-05-01,19,0,0,3,1,23
Egypt,2010-05-01,17,0,1,9,0,27
Egypt,2010-05-01,6,0,0,3,0,9
Egypt,2010-05-01,11,0,0,-5,1,7
Egypt,2010-05-01,17,2,-3,3,2,21
Egypt,2010-05-01,11,0,0,6,0,17
Egypt,2010-05-01,15,0,0,0,0,15
Egypt,2010-05-01,37,0,0,3,6,46
Egypt,2010-05-01,35,0,0,-2,3,36
Egypt,2010-05-01,62,0,-6,3,0,59
Eritrea,2010-05-01,0,0,0,3,0,3
Eritrea,2010-05-01,1,0,0,12,0,13
Eritrea,2010-05-01,0,0,0,22,2,24
Eritrea,2010-05-01,0,0,0,6,0,6
Eritrea,2010-05-01,4,0,0,15,0,19
Eritrea,2010-05-01,0,0,0,0,0,0
Eritrea,2010-05-01,-2,0,0,0,0,-2
Eritrea,2010-05-01,1,0,0,6,0,7
Eritrea,2010-05-01,0,8,0,0,0,8
Eritrea,2010-05-01,3,8,0,0,0,11
Eritrea,2010-05-01,0,0,0,0,0,0
Eritrea,2010-05-01,0,0,0,-8,0,-8
Eritrea,2010-05-01,6,0,0,0,0,6
Eritrea,2010-05-01,0,0,0,0,0,0
Eritrea,2010-05-01,-3,0,0,0,0,-3
Eritrea,2010-05-01,0,0,0,3,0,3
Eritrea,2010-05-01,0,0,0,0,0,0
Eritrea,2010-05-01,3,0,0,0,0,3
Eritrea,2010-05-01,20,0,0,3,2,25
