"country","year_month","state_based_conflict","one_sided_violence","non_state_conflict","deaths_civilians","type_of_violence_category"
"Afghanistan",2009-01-01,33,0,0,33,5
"Afghanistan",2009-02-01,53,3,0,56,5
"Afghanistan",2009-03-01,41,10,0,51,5
"Afghanistan",2009-04-01,50,5,0,55,5
"Afghanistan",2009-05-01,150,16,0,166,5
"Afghanistan",2009-06-01,71,3,0,74,5
"Afghanistan",2009-07-01,82,5,0,87,5
"Afghanistan",2009-08-01,117,47,0,164,5
"Afghanistan",2009-09-01,197,17,0,214,5
"Afghanistan",2009-10-01,37,10,0,47,5
"Afghanistan",2009-11-01,62,15,0,77,5
"Afghanistan",2009-12-01,54,21,0,75,5
"Afghanistan",2010-01-01,35,17,0,52,5
"Afghanistan",2010-02-01,87,3,0,90,5
"Afghanistan",2010-03-01,86,2,19,107,7
"Afghanistan",2010-04-01,77,10,0,87,5
"Afghanistan",2010-05-01,54,17,0,71,5
"Afghanistan",2010-06-01,98,52,0,150,7
"Afghanistan",2010-07-01,133,25,0,158,7
"Afghanistan",2010-08-01,130,15,0,145,5
"Afghanistan",2010-09-01,59,8,0,67,5
"Afghanistan",2010-10-01,98,4,0,102,5
"Afghanistan",2010-11-01,56,1,0,57,5
"Afghanistan",2010-12-01,75,10,0,85,5
"Afghanistan",2011-01-01,87,14,0,101,5
"Afghanistan",2011-02-01,45,1,0,46,5
"Afghanistan",2011-03-01,71,1,0,72,5
"Afghanistan",2011-04-01,31,1,0,32,7
"Afghanistan",2011-05-01,52,2,0,54,7
"Afghanistan",2011-06-01,100,11,0,111,7
"Afghanistan",2011-07-01,120,3,0,123,5
"Afghanistan",2011-08-01,87,10,0,97,5
"Afghanistan",2011-09-01,98,11,0,109,7
"Afghanistan",2011-10-01,64,7,0,71,5
"Afghanistan",2011-11-01,61,2,0,63,5
"Afghanistan",2011-12-01,69,64,0,133,5
"Afghanistan",2012-01-01,57,0,0,57,5
"Afghanistan",2012-02-01,29,2,0,31,5
"Afghanistan",2012-03-01,48,0,0,48,1
"Afghanistan",2012-04-01,44,0,0,44,1
"Afghanistan",2012-05-01,89,1,0,90,7
"Afghanistan",2012-06-01,102,30,0,132,5
"Afghanistan",2012-07-01,93,10,0,103,5
"Afghanistan",2012-08-01,94,3,0,97,5
"Afghanistan",2012-09-01,82,5,0,87,5
"Afghanistan",2012-10-01,90,7,0,97,5
"Afghanistan",2012-11-01,76,5,0,81,5
"Afghanistan",2012-12-01,35,0,0,35,5
"Afghanistan",2013-01-01,21,2,0,23,5
"Afghanistan",2013-02-01,40,0,0,40,1
"Afghanistan",2013-03-01,50,2,0,52,5
"Afghanistan",2013-04-01,96,9,0,105,7
"Afghanistan",2013-05-01,66,4,0,70,5
"Afghanistan",2013-06-01,103,3,0,106,5
"Afghanistan",2013-07-01,91,3,0,94,7
"Afghanistan",2013-08-01,111,5,0,116,5
"Afghanistan",2013-09-01,67,2,0,69,5
"Afghanistan",2013-10-01,65,10,0,75,5
"Afghanistan",2013-11-01,48,19,0,67,5
"Afghanistan",2013-12-01,43,4,0,47,5
"Afghanistan",2014-01-01,51,3,0,54,7
"Afghanistan",2014-02-01,24,2,0,26,7
"Afghanistan",2014-03-01,40,45,0,85,5
"Afghanistan",2014-04-01,39,13,0,52,5
"Afghanistan",2014-05-01,61,1,0,62,5
"Afghanistan",2014-06-01,63,14,0,77,5
"Afghanistan",2014-07-01,102,8,0,110,5
"Afghanistan",2014-08-01,37,17,0,54,5
"Afghanistan",2014-09-01,48,4,0,52,7
"Afghanistan",2014-10-01,39,9,0,48,5
"Afghanistan",2014-11-01,29,69,0,98,5
"Afghanistan",2014-12-01,71,28,0,99,5
