country,sex,age_group,ADF Statistic,p-value,Stationary
Afghanistan,female,adult,-2.4432360339913295,0.129903224896889,False
Afghanistan,female,minor,-2.464184905280718,0.12443344241805382,False
Afghanistan,male,adult,-2.0252199277406797,0.275625675393234,False
Afghanistan,male,minor,-2.5240935155933895,0.10972161907458716,False
Albania,female,adult,-1.900247998339221,0.33194445346821766,False
Albania,female,minor,-1.7887122639823052,0.38607996616236884,False
Albania,male,adult,-1.8599909875936493,0.35111020787170855,False
Albania,male,minor,-1.6731315229820725,0.44500636692556367,False
Bangladesh,male,minor,-2.209940178504042,0.2026575468480737,False
Cameroon,female,adult,-1.7453676042146287,0.40790220187943577,False
Cameroon,female,minor,-1.9964158655738586,0.28814682510265754,False
Cameroon,male,adult,-2.070173686857476,0.2566757629280567,False
Democratic Republic of the Congo,female,adult,-2.250130763267592,0.18855624446938946,False
Democratic Republic of the Congo,female,minor,-2.502473797123856,0.11487358288386118,False
Democratic Republic of the Congo,male,adult,-2.0135303389466617,0.2806722094601237,False
Democratic Republic of the Congo,male,minor,-2.301333660010327,0.17153820040398687,False
Egypt,male,adult,-0.0341311240939978,0.9556167903347801,False
Egypt,male,minor,0.6308363851950886,0.9883515385133788,False
Eritrea,female,adult,1.494504115665473,0.9975038790869537,False
Eritrea,male,adult,-0.2917523213855925,0.9266643548090997,False
Georgia,female,adult,-1.9346816060875993,0.31592572962026133,False
Georgia,female,minor,-2.40176932710709,0.14123765180273629,False
Georgia,male,minor,-1.5860537074591115,0.49059531995555533,False
India,female,minor,-0.6653379203367673,0.855524705189304,False
Iran,female,minor,-2.687410449806575,0.07624226247043264,False
Iran,male,adult,-1.8492377571210714,0.3563047540165598,False
Iran,male,minor,-1.7045940194218043,0.4287470678345989,False
Iraq,female,adult,-1.6996366648888934,0.43129968776652183,False
Iraq,female,minor,-1.9526770738606114,0.30769994614876695,False
Iraq,male,adult,-1.7078312830351432,0.42708214831111907,False
Iraq,male,minor,-1.998908212027434,0.2870520152405063,False
Pakistan,female,adult,-1.5887536001088371,0.4892404672544363,False
Pakistan,male,adult,-2.7799687773702653,0.061192544456055695,False
Pakistan,male,minor,-1.752884949792783,0.40409091918908924,False
Palestine,male,adult,1.0141978898550015,0.9944135167038001,False
Sierra Leone,female,adult,4.4804322164836385,1.0,False
Sierra Leone,male,adult,0.3190927808946257,0.9782036929740475,False
Sierra Leone,male,minor,-0.3950490294780297,0.9109221360523045,False
Somalia,female,adult,-1.38904435040304,0.5875169791139883,False
Somalia,female,minor,-0.5268541225344925,0.8866687092167893,False
Somalia,male,minor,-0.6554182993579623,0.8579618289276763,False
Syria,male,adult,-1.4422207219848864,0.5618760895013983,False
Türkiye,female,adult,-2.621366613413729,0.08866114035605432,False
Türkiye,male,adult,-2.2070935637176405,0.20368098366173853,False
Yemen,female,adult,-1.1744230139850929,0.684500397931706,False
Yemen,female,minor,-1.2260838531690754,0.6622756717150421,False
Yemen,male,adult,1.506695781519962,0.9975488126753682,False
