Country,MSE Ensemble,RMSE Ensemble,MAE Ensemble,MDAE Ensemble,MSE XGBoost,RMSE XGBoost,MAE XGBoost,MDAE XGBoost,MSE LSTM,RMSE LSTM,MAE LSTM,MDAE LSTM,MSE NN,RMSE NN,MAE NN,MDAE NN
Afghanistan,11148.5,105.59,77.0,48.5,11512.5,107.3,84.0,48.5,25159.5,158.62,117.0,92.5,48894.5,221.12,218.0,218.0
Albania,99.75,9.99,8.75,6.5,23.75,4.87,3.75,2.5,161.25,12.7,10.75,8.5,99.75,9.99,8.75,6.5
Bangladesh,183.75,13.56,7.75,1.5,182.25,13.5,6.75,0.0,1077.75,32.83,20.25,5.5,962.5,31.02,16.5,1.5
Cameroon,26.75,5.17,4.25,3.5,24.25,4.92,4.25,4.0,64.25,8.02,7.25,6.0,26.75,5.17,4.25,3.5
Democratic Republic of the Congo,17.25,4.15,2.75,1.5,7.75,2.78,2.25,1.5,16.5,4.06,3.5,2.5,17.25,4.15,2.75,1.5
Egypt,515.25,22.7,16.75,15.0,513.75,22.67,16.75,14.5,484.5,22.01,14.0,6.5,4624.5,68.0,49.0,47.5
Eritrea,467.25,21.62,18.75,20.5,433.5,20.82,16.5,17.5,992.25,31.5,25.75,24.0,1778.5,42.17,33.5,32.5
Georgia,95.0,9.75,7.5,6.0,37.25,6.1,5.75,5.0,158.5,12.59,11.0,8.5,95.0,9.75,7.5,6.0
India,10.5,3.24,2.5,1.5,12.25,3.5,1.75,0.0,31.0,5.57,5.5,5.0,10.5,3.24,2.5,1.5
Iran,9.5,3.08,3.0,3.0,6.75,2.6,2.25,2.0,39.25,6.26,5.75,4.5,9.5,3.08,3.0,3.0
Iraq,601.5,24.53,24.5,24.5,314.0,17.72,13.0,13.0,1258.5,35.48,34.0,33.5,542.5,23.29,23.0,22.5
Pakistan,871.75,29.53,15.75,1.5,872.5,29.54,15.5,1.5,1069.0,32.7,19.0,5.0,2071.75,45.52,23.75,1.5
Palestine,1392.75,37.32,29.75,27.5,656.5,25.62,20.5,12.5,980.75,31.32,22.25,16.0,400.5,20.01,15.5,10.0
Sierra Leone,55.75,7.47,6.75,7.0,39.0,6.24,5.0,4.0,72.25,8.5,7.25,7.0,58.75,7.66,7.25,7.0
Somalia,83.75,9.15,7.75,7.0,15.75,3.97,3.75,4.0,39.0,6.24,5.5,5.0,89.0,9.43,8.5,7.0
Syria,4466.25,66.83,63.25,54.0,3159.25,56.21,46.75,32.5,4082.25,63.89,61.25,54.0,291.5,17.07,12.5,9.5
Türkiye,1128.75,33.6,18.25,3.0,54.75,7.4,6.75,6.5,1128.75,33.6,18.25,3.0,290.25,17.04,9.25,1.5
Yemen,34.5,5.87,5.5,4.5,6.5,2.55,2.5,2.5,42.25,6.5,6.25,6.0,210.25,14.5,10.25,4.5
