Country,MSE Ensemble,RMSE Ensemble,MAE Ensemble,MDAE Ensemble,MAPE Ensemble,MSE XGBoost,RMSE XGBoost,MAE XGBoost,MDAE XGBoost,MAPE XGBoost,MSE LSTM,RMSE LSTM,MAE LSTM,MDAE LSTM,MAPE LSTM,MSE NN,RMSE NN,MAE NN,MDAE NN,MAPE NN
"('Afghanistan',)",135424.0,368.0,368.0,368.0,0.0,135424.0,368.0,368.0,368.0,0.0,212521.0,461.0,461.0,461.0,0.0,811801.0,901.0,901.0,901.0,0.0
"('Albania',)",676.0,26.0,26.0,26.0,0.0,100.0,10.0,10.0,10.0,0.0,1521.0,39.0,39.0,39.0,1.0,676.0,26.0,26.0,26.0,0.0
"('Bangladesh',)",784.0,28.0,28.0,28.0,0.0,784.0,28.0,28.0,28.0,0.0,4225.0,65.0,65.0,65.0,1.0,2500.0,50.0,50.0,50.0,1.0
"('Cameroon',)",4.0,2.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,0.0
"('Democratic Republic of the Congo',)",1156.0,34.0,34.0,34.0,1.0,16.0,4.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,1156.0,34.0,34.0,34.0,1.0
"('Egypt',)",12321.0,111.0,111.0,111.0,0.0,12321.0,111.0,111.0,111.0,0.0,19044.0,138.0,138.0,138.0,0.0,80089.0,283.0,283.0,283.0,0.0
"('Eritrea',)",3364.0,58.0,58.0,58.0,0.0,3364.0,58.0,58.0,58.0,0.0,6724.0,82.0,82.0,82.0,0.0,16900.0,130.0,130.0,130.0,1.0
"('Georgia',)",25.0,5.0,5.0,5.0,0.0,100.0,10.0,10.0,10.0,0.0,400.0,20.0,20.0,20.0,0.0,25.0,5.0,5.0,5.0,0.0
"('India',)",225.0,15.0,15.0,15.0,1.0,25.0,5.0,5.0,5.0,0.0,225.0,15.0,15.0,15.0,1.0,225.0,15.0,15.0,15.0,1.0
"('Iran',)",144.0,12.0,12.0,12.0,0.0,9.0,3.0,3.0,3.0,0.0,16.0,4.0,4.0,4.0,0.0,144.0,12.0,12.0,12.0,0.0
"('Iraq',)",15876.0,126.0,126.0,126.0,2.0,1681.0,41.0,41.0,41.0,1.0,15876.0,126.0,126.0,126.0,2.0,4624.0,68.0,68.0,68.0,1.0
"('Pakistan',)",2500.0,50.0,50.0,50.0,0.0,2500.0,50.0,50.0,50.0,0.0,3025.0,55.0,55.0,55.0,0.0,2809.0,53.0,53.0,53.0,0.0
"('Palestine',)",36481.0,191.0,191.0,191.0,1.0,36481.0,191.0,191.0,191.0,1.0,15129.0,123.0,123.0,123.0,1.0,7921.0,89.0,89.0,89.0,0.0
"('Sierra Leone',)",196.0,14.0,14.0,14.0,0.0,196.0,14.0,14.0,14.0,0.0,900.0,30.0,30.0,30.0,0.0,196.0,14.0,14.0,14.0,0.0
"('Somalia',)",289.0,17.0,17.0,17.0,0.0,324.0,18.0,18.0,18.0,0.0,289.0,17.0,17.0,17.0,0.0,81.0,9.0,9.0,9.0,0.0
"('Syria',)",96100.0,310.0,310.0,310.0,0.0,96100.0,310.0,310.0,310.0,0.0,149769.0,387.0,387.0,387.0,0.0,17424.0,132.0,132.0,132.0,0.0
"('Türkiye',)",14641.0,121.0,121.0,121.0,0.0,484.0,22.0,22.0,22.0,0.0,14641.0,121.0,121.0,121.0,0.0,1600.0,40.0,40.0,40.0,0.0
"('Yemen',)",81.0,9.0,9.0,9.0,0.0,49.0,7.0,7.0,7.0,0.0,1521.0,39.0,39.0,39.0,0.0,81.0,9.0,9.0,9.0,0.0
