Country,MSE Ensemble,RMSE Ensemble,MAE Ensemble,MDAE Ensemble,MAPE Ensemble,MSE XGBoost,RMSE XGBoost,MAE XGBoost,MDAE XGBoost,MAPE XGBoost,MSE LSTM,RMSE LSTM,MAE LSTM,MDAE LSTM,MAPE LSTM,MSE NN,RMSE NN,MAE NN,MDAE NN,MAPE NN
Afghanistan,12222.0,216.0,216.0,216.0,0.0,12222.0,216.0,216.0,216.0,0.0,326241.0,1125.0,1125.0,1125.0,3.0,136862.0,648.0,648.0,648.0,0.0
Albania,196.0,24.0,24.0,24.0,5000000.0,68.0,14.0,14.0,14.0,5999999.0,358.0,34.0,34.0,34.0,6000001.0,196.0,24.0,24.0,24.0,5000000.0
Bangladesh,39.0,9.0,9.0,9.0,3000001.0,36.0,6.0,6.0,6.0,3.0,762.0,42.0,42.0,42.0,15999997.0,487.0,25.0,25.0,25.0,3000001.0
Cameroon,39.0,11.0,11.0,11.0,3999998.0,24.0,8.0,8.0,8.0,4000000.0,126.0,20.0,20.0,20.0,10999999.0,39.0,11.0,11.0,11.0,3999998.0
Democratic Republic of the Congo,45.0,13.0,13.0,13.0,1.0,23.0,9.0,9.0,9.0,0.0,40.0,12.0,12.0,12.0,0.0,45.0,13.0,13.0,13.0,1.0
Egypt,9858.0,144.0,144.0,144.0,1999999.0,598.0,32.0,32.0,32.0,2000000.0,9875.0,145.0,145.0,145.0,4999999.0,108.0,18.0,18.0,18.0,1999999.0
Eritrea,2226.0,74.0,74.0,74.0,11000000.0,2329.0,81.0,81.0,81.0,18000000.0,4402.0,94.0,94.0,94.0,12000001.0,2439.0,77.0,77.0,77.0,11000001.0
Georgia,434.0,38.0,38.0,38.0,2.0,167.0,23.0,23.0,23.0,1.0,382.0,36.0,36.0,36.0,2.0,434.0,38.0,38.0,38.0,2.0
India,67.0,11.0,11.0,11.0,10999996.0,49.0,7.0,7.0,7.0,7000002.0,124.0,22.0,22.0,22.0,21999996.0,67.0,11.0,11.0,11.0,10999996.0
Iran,478.0,34.0,34.0,34.0,2.0,129.0,19.0,19.0,19.0,1.0,948.0,44.0,44.0,44.0,3.0,478.0,34.0,34.0,34.0,2.0
Iraq,513.0,35.0,35.0,35.0,0.0,463.0,29.0,29.0,29.0,0.0,513.0,35.0,35.0,35.0,0.0,473.0,33.0,33.0,33.0,1.0
Pakistan,250.0,22.0,22.0,22.0,9000001.0,61.0,11.0,11.0,11.0,6000001.0,300.0,32.0,32.0,32.0,18999997.0,225.0,21.0,21.0,21.0,9000001.0
Palestine,1167.0,57.0,57.0,57.0,3.0,517.0,31.0,31.0,31.0,0.0,2414.0,72.0,72.0,72.0,3.0,427.0,37.0,37.0,37.0,2.0
Sierra Leone,580.0,44.0,44.0,44.0,3.0,84.0,16.0,16.0,16.0,0.0,1110.0,60.0,60.0,60.0,2.0,1015.0,59.0,59.0,59.0,3.0
Somalia,450.0,36.0,36.0,36.0,18000002.0,82.0,14.0,14.0,14.0,7999999.0,245.0,25.0,25.0,25.0,14000000.0,522.0,42.0,42.0,42.0,18000002.0
Syria,6387.0,145.0,145.0,145.0,0.0,5646.0,112.0,112.0,112.0,0.0,27021.0,253.0,253.0,253.0,0.0,24528.0,284.0,284.0,284.0,0.0
Türkiye,3045.0,103.0,103.0,103.0,2.0,427.0,37.0,37.0,37.0,0.0,3465.0,113.0,113.0,113.0,3.0,4132.0,112.0,112.0,112.0,1.0
Yemen,1077.0,43.0,43.0,43.0,2.0,668.0,36.0,36.0,36.0,2.0,1057.0,41.0,41.0,41.0,1.0,174.0,22.0,22.0,22.0,1.0
