Country,Sex,Age Group,MSE Ensemble,RMSE Ensemble,MAE Ensemble,MDAE Ensemble,MAPE Ensemble,MSE XGBoost,RMSE XGBoost,MAE XGBoost,MDAE XGBoost,MAPE XGBoost,MSE LSTM,RMSE LSTM,MAE LSTM,MDAE LSTM,MAPE LSTM,MSE NN,RMSE NN,MAE NN,MDAE NN,MAPE NN
Afghanistan,female,adult,196.0,14.0,14.0,14.0,0.0,1369.0,37.0,37.0,37.0,0.0,196.0,14.0,14.0,14.0,0.0,20164.0,142.0,142.0,142.0,0.0
Afghanistan,female,minor,1936.0,44.0,44.0,44.0,0.0,1936.0,44.0,44.0,44.0,0.0,4761.0,69.0,69.0,69.0,0.0,20449.0,143.0,143.0,143.0,0.0
Afghanistan,male,adult,81.0,9.0,9.0,9.0,0.0,1936.0,44.0,44.0,44.0,0.0,81.0,9.0,9.0,9.0,0.0,42025.0,205.0,205.0,205.0,0.0
Afghanistan,male,minor,4356.0,66.0,66.0,66.0,0.0,4356.0,66.0,66.0,66.0,0.0,6561.0,81.0,81.0,81.0,0.0,40804.0,202.0,202.0,202.0,0.0
Albania,female,adult,49.0,7.0,7.0,7.0,0.0,4.0,2.0,2.0,2.0,0.0,81.0,9.0,9.0,9.0,1.0,49.0,7.0,7.0,7.0,0.0
Albania,female,minor,100.0,10.0,10.0,10.0,1.0,9.0,3.0,3.0,3.0,0.0,169.0,13.0,13.0,13.0,1.0,100.0,10.0,10.0,10.0,1.0
Albania,male,adult,9.0,3.0,3.0,3.0,0.0,16.0,4.0,4.0,4.0,0.0,49.0,7.0,7.0,7.0,0.0,9.0,3.0,3.0,3.0,0.0
Albania,male,minor,25.0,5.0,5.0,5.0,1.0,9.0,3.0,3.0,3.0,0.0,16.0,4.0,4.0,4.0,0.0,25.0,5.0,5.0,5.0,1.0
Bangladesh,female,adult,1.0,1.0,1.0,1.0,1000001.0,0.0,0.0,0.0,0.0,1.0,25.0,5.0,5.0,5.0,4999999.0,1.0,1.0,1.0,1.0,1000001.0
Bangladesh,female,minor,1.0,1.0,1.0,1.0,1000001.0,0.0,0.0,0.0,0.0,1.0,25.0,5.0,5.0,5.0,4999999.0,1.0,1.0,1.0,1.0,1000001.0
Bangladesh,male,adult,49.0,7.0,7.0,7.0,0.0,49.0,7.0,7.0,7.0,0.0,9.0,3.0,3.0,3.0,0.0,9.0,3.0,3.0,3.0,0.0
Bangladesh,male,minor,16.0,4.0,4.0,4.0,3999999.0,16.0,4.0,4.0,4.0,3999999.0,36.0,6.0,6.0,6.0,5999999.0,16.0,4.0,4.0,4.0,3999999.0
Cameroon,female,adult,25.0,5.0,5.0,5.0,0.0,81.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,0.0,25.0,5.0,5.0,5.0,0.0
Cameroon,female,minor,16.0,4.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,16.0,4.0,4.0,4.0,0.0,16.0,4.0,4.0,4.0,0.0
Cameroon,male,adult,25.0,5.0,5.0,5.0,0.0,49.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,25.0,5.0,5.0,5.0,0.0
Cameroon,male,minor,16.0,4.0,4.0,4.0,3999999.0,16.0,4.0,4.0,4.0,3999999.0,36.0,6.0,6.0,6.0,5999999.0,16.0,4.0,4.0,4.0,3999999.0
Democratic Republic of the Congo,female,adult,36.0,6.0,6.0,6.0,1.0,25.0,5.0,5.0,5.0,1.0,16.0,4.0,4.0,4.0,1.0,36.0,6.0,6.0,6.0,1.0
Democratic Republic of the Congo,female,minor,81.0,9.0,9.0,9.0,8999999.0,49.0,7.0,7.0,7.0,6999999.0,64.0,8.0,8.0,8.0,7999999.0,81.0,9.0,9.0,9.0,8999999.0
Democratic Republic of the Congo,male,adult,4.0,2.0,2.0,2.0,0.0,9.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,0.0
Democratic Republic of the Congo,male,minor,9.0,3.0,3.0,3.0,0.0,4.0,2.0,2.0,2.0,0.0,9.0,3.0,3.0,3.0,0.0,9.0,3.0,3.0,3.0,0.0
