country,sex,age_group,ADF Statistic,p-value,Stationary
Bangladesh,female,adult,-10.15621064224111,7.717677381024707e-18,True
Bangladesh,female,minor,-13.490737563232036,3.1098952980886853e-25,True
Bangladesh,male,adult,-5.496351912735086,2.1191546559750297e-06,True
Cameroon,male,minor,-5.5629217951026675,1.5273540927194241e-06,True
Egypt,female,adult,-4.028004883906619,0.0012707638775100484,True
Egypt,female,minor,-3.0681645632631,0.029000628917493384,True
Eritrea,female,minor,-3.1123984056195475,0.02564915339828686,True
Eritrea,male,minor,-3.6185809084747675,0.0054155766821761065,True
Georgia,male,adult,-3.563935560964169,0.006489135408935351,True
India,female,adult,-2.9446951326308257,0.04039198084531977,True
India,male,adult,-3.1178294356395644,0.025261559621728873,True
India,male,minor,-3.021749686078172,0.0329125730562119,True
Iran,female,adult,-2.9285310330086087,0.0421294031184605,True
Pakistan,female,minor,-4.136208457175557,0.0008433297985189984,True
Palestine,female,adult,-3.881188513394404,0.002177734743796892,True
Palestine,female,minor,-2.871165120635026,0.0488053191409831,True
Palestine,male,minor,-5.587030044063287,1.355618767425744e-06,True
Sierra Leone,female,minor,-7.056298486673872,5.364404519873308e-10,True
Somalia,male,adult,-3.3443606679462294,0.013008314427834131,True
Syria,female,adult,-3.0821027157743486,0.027906332375197258,True
Syria,female,minor,-3.3984423027156923,0.011012088156584193,True
Syria,male,minor,-3.3866600662708217,0.0114221226868617,True
Türkiye,female,minor,-2.8726050846527333,0.04862765566753326,True
Türkiye,male,minor,-3.48457102576024,0.008392297814231236,True
Yemen,male,minor,-4.504221005401122,0.00019321525641357657,True
